Disaster Type,Continent,Start Year,Start Month,Total Deaths,No Affected,Total Affected
Flood,Asia,2010,5,1691,134000000,134000000
Flood,Asia,2007,6,535,105000000,105004000
Storm,Americas,2016,1,50,85000000,85000012
Flood,Asia,2011,6,467,67900000,67900000
Flood,Asia,2016,6,289,60000000,60000000
Earthquake,Asia,2008,5,87476,45610000,45976596
Flood,Asia,2009,7,90,39372000,39372000
Flood,Asia,2004,6,730,36000000,36000000
Flood,Asia,2004,7,133,33648000,33652026
Flood,Asia,2004,6,900,33000000,33000000
Storm,Asia,2006,7,820,29622000,29622000
Flood,Asia,2018,8,504,23000000,23220000
Storm,Asia,2011,4,18,22000000,22000150
Flood,Asia,2010,7,1985,20356550,20359496
Flood,Asia,2005,7,1200,20000000,20000055
Flood,Asia,2011,9,117,20000000,20000000
Storm,Asia,2019,5,50,20000000,20000000
Storm,Asia,2005,9,159,19624000,19624000
Flood,Asia,2007,7,1103,18700000,18700000
Flood,Asia,2012,6,91,17440000,17440000
Flood,Asia,2017,8,514,17200000,17200000
Flood,Asia,2020,8,1082,17000000,17000000
Flood,Asia,2005,6,235,16700000,16700000
Storm,Asia,2013,11,7354,16078181,16106870
Flood,Asia,2014,6,24,15000000,15000000
Storm,Asia,2020,5,103,14000000,14000000
Flood,Asia,2007,7,1110,13771380,13771380
Flood,Asia,2015,7,293,13709887,13709887
Storm,Asia,2013,10,47,13230000,13230000
Flood,Asia,2012,4,132,13119000,13119000
Flood,Asia,2017,6,78,12000000,12000008
Flood,Asia,2005,6,58,11230000,11230230
Flood,Asia,2007,7,96,11100000,11100000
Flood,Americas,2008,6,24,11000000,11000148
Storm,Asia,2009,8,8,11000000,11000004
Flood,Asia,2019,3,70,10000000,10001076
Storm,Asia,2009,11,41,10000000,10000096
Storm,Asia,2006,8,89,10000000,10000000
Storm,Americas,2017,9,10,10000000,10000000
Storm,Asia,2014,7,71,9960000,9960099
Flood,Asia,2011,8,813,9500000,9500000
Storm,Asia,2004,8,188,8590000,9062000
Storm,Asia,2007,11,4234,8923259,8978541
Flood,Asia,2010,10,258,8970653,8970653
Flood,Asia,2004,9,222,8240000,8253000
Flood,Asia,2017,8,144,8000000,8000000
Storm,Asia,2013,8,88,8000000,8000000
Storm,Asia,2007,8,39,8000000,8000000
Storm,Asia,2005,3,36,8000000,8000000
Flood,Asia,2008,6,1063,7900000,7900000
Flood,Asia,2019,7,114,7600000,7600000
Flood,Asia,2007,9,80,7200000,7200000
Flood,Africa,2012,7,363,7000000,7000867
Flood,Asia,2005,2,520,7000000,7000450
Storm,Asia,2006,7,109,6531000,6531000
Storm,Asia,2012,12,1901,6243998,6246664
Storm,Asia,2012,8,3,6000000,6000007
Flood,Asia,2010,6,152,6000000,6000000
Storm,Asia,2006,8,441,5920000,5923350
Storm,Asia,2005,9,25,5719000,5719000
Earthquake,Asia,2015,4,8831,5621790,5639722
Flood,Asia,2009,4,49,5630000,5630000
Flood,Asia,2011,8,204,5549080,5549080
Flood,Asia,2014,5,37,5500000,5500000
Flood,Asia,2011,8,509,5400000,5400755
Storm,Asia,2019,9,5,5300000,5300000
Flood,Asia,2012,6,139,5148475,5148475
Earthquake,Asia,2005,10,73338,0,5128309
Storm,Asia,2009,5,96,5100000,5100000
Flood,Asia,2012,8,480,5046462,5049364
Flood,Asia,2020,6,119,5000000,5000000
Storm,Americas,2004,9,47,5000000,5000000
Storm,Asia,2009,9,501,4901234,4901763
Storm,Asia,2008,6,644,4784634,4785460
Storm,Asia,2014,7,111,4653716,4654966
Flood,Asia,2005,9,20,4610000,4610000
Flood,Asia,2006,6,21,4600000,4600024
Flood,Asia,2019,6,300,4500000,4500000
Storm,Asia,2009,9,512,4478284,4478491
Flood,Asia,2012,8,112,4451711,4451725
Storm,Asia,2017,11,123,4330000,4330000
Storm,Asia,2014,12,18,4149484,4150400
Flood,Asia,2006,6,30,4120000,4120000
Flood,Asia,2009,9,355,4100000,4100000
Flood,Asia,2006,7,350,0,4000065
Storm,Asia,2009,5,190,3928238,3935341
Storm,Asia,2006,9,228,3842000,3842406
Storm,Asia,2018,9,84,3800000,3800138
Flood,Asia,2011,8,22,3800000,3800000
Storm,Asia,2012,8,15,3790000,3790000
Earthquake,Americas,2010,1,222570,3400000,3700000
Storm,Asia,2011,8,0,3649800,3649800
Flood,Asia,2014,8,47,3600000,3600000
Flood,Asia,2013,7,233,3500000,3500000
Flood,Asia,2013,9,61,3500000,3500000
Flood,Asia,2011,9,239,3443989,3443989
Storm,Asia,2017,5,7,3300000,3300012
Storm,Asia,2019,12,63,3296877,3297246
Flood,Asia,2010,9,200,3267183,3267183
Earthquake,Asia,2013,10,230,3221248,3222224
Earthquake,Asia,2006,5,5778,2340745,3177923
Storm,Asia,2006,5,23,3150000,3150000
Flood,Asia,2013,8,31,3096392,3096422
Storm,Asia,2011,9,103,3030755,3030846
Flood,Asia,2019,7,1900,3000000,3000000
Flood,Asia,2008,7,19,3000000,3000000
Storm,Asia,2015,10,51,2898507,2898590
Flood,Asia,2014,8,59,2800000,2800447
Flood,Americas,2016,11,15,2792000,2792000
Flood,Americas,2010,4,418,2791536,2791999
Flood,Asia,2017,8,101,2700000,2700000
Earthquake,Americas,2010,2,562,1861222,2671556
Storm,Asia,2019,12,4,2305075,2647558
Flood,Asia,2008,8,47,2600000,2600000
Storm,Asia,2015,7,45,2600000,2600000
Storm,Asia,2006,11,1399,2560374,2562517
Flood,Asia,2014,9,255,2530000,2530673
Storm,Asia,2018,1,21,2500000,2503700
Earthquake,Asia,2009,9,1195,2500000,2501798
Storm,Americas,2005,7,16,2500000,2500000
Storm,Asia,2009,9,182,2367820,2477315
Storm,Asia,2005,10,95,2460000,2460000
Flood,Asia,2007,8,26,2430000,2430000
Storm,Asia,2008,5,138366,2400000,2420000
Flood,Asia,2008,9,173,0,2400000
Flood,Asia,2006,6,29,2375000,2375016
Storm,Asia,2009,8,630,2307477,2307523
Flood,Asia,2007,5,43,2300000,2300050
Flood,Asia,2005,10,19,2000000,2250000
Storm,Asia,2018,7,16,2231101,2231101
Flood,Asia,2006,8,164,2212413,2212413
Flood,Asia,2012,6,120,2200000,2200000
Earthquake,Asia,2013,4,198,2184000,2198785
Flood,Asia,2013,11,47,2127865,2130001
Storm,Americas,2016,9,546,2100000,2100439
Storm,Americas,2008,9,43,2100000,2100000
Flood,Asia,2011,9,42,2100000,2100000
Storm,Asia,2014,9,22,2052141,2052157
Storm,Asia,2010,10,35,2008984,2009026
Storm,Asia,2013,12,4,2000000,2003000
Flood,Asia,2006,8,185,2000000,2000000
Flood,Asia,2005,10,162,2000000,2000000
Flood,Asia,2013,6,80,2000000,2000000
Flood,Asia,2016,7,50,0,2000000
Flood,Asia,2012,9,21,2000000,2000000
Storm,Africa,2019,4,0,2000000,2000000
Flood,Asia,2010,12,110,1972433,1972446
Storm,Americas,2005,10,36,1954571,1954571
Flood,Africa,2018,9,199,1921026,1922332
Flood,Asia,2005,7,70,1904000,1908000
Flood,Asia,2016,7,106,1900000,1900000
Storm,Asia,2016,12,24,1893404,1893404
Flood,Asia,2009,7,992,1886000,1886000
Storm,Asia,2010,1,30,1880000,1881100
Storm,Asia,2017,12,91,1861250,1861328
Storm,Asia,2013,9,31,1835255,1835585
Flood,Asia,2015,11,325,1800000,1801000
Flood,Americas,2017,3,184,1800000,1800505
Flood,Asia,2017,1,96,1800000,1800000
Storm,Asia,2018,12,0,1800000,1800000
Flood,Asia,2017,6,75,1735000,1735000
Storm,Asia,2018,9,5,1709511,1709511
Flood,Asia,2017,8,176,1700000,1700134
Storm,Asia,2011,6,20,1700085,1700089
Storm,Asia,2018,7,0,1677993,1677993
Storm,Asia,2007,6,242,1650000,1650000
Flood,Asia,2011,8,247,1640000,1640023
Flood,Asia,2015,7,149,1621703,1621703
Flood,Asia,2016,7,254,1600000,1600000
Flood,Asia,2008,6,176,1600000,1600000
Flood,Americas,2007,10,22,1600000,1600000
Flood,Asia,2011,7,6,1600000,1600000
Storm,Asia,2015,8,18,1580000,1580000
Flood,Asia,2015,7,238,1572191,1572423
Flood,Asia,2011,7,10,1570559,1570559
Flood,Asia,2018,7,16,1519000,1519000
Flood,Americas,2007,3,146,1504144,1504317
Storm,Africa,2019,3,603,1500000,1501500
Flood,Africa,2010,9,40,1500000,1500200
Flood,Asia,2018,6,246,1500000,1500102
Flood,Americas,2008,11,151,1500000,1500015
Flood,Asia,2013,9,200,1500000,1500000
Storm,Americas,2018,9,53,1500000,1500000
Flood,Asia,2017,1,9,1500000,1500000
Flood,Asia,2020,6,0,1500000,1500000
Storm,Asia,2013,5,17,1498579,1498644
Flood,Asia,2013,8,234,1496870,1497725
Storm,Asia,2008,5,64,1496635,1496668
Storm,Asia,2006,9,71,1368720,1467925
Flood,Asia,2006,6,2,1410000,1410000
Flood,Asia,2015,6,20,1381250,1401901
Flood,Asia,2020,6,183,1400000,1400010
Flood,Asia,2020,6,108,1400000,1400000
Flood,Asia,2006,7,10,1400000,1400000
Flood,Africa,2007,1,4,1400000,1400000
Storm,Asia,2013,3,25,1398000,1398324
Flood,Asia,2018,7,3,1381000,1381000
Storm,Asia,2005,9,25,1350000,1350008
Earthquake,Americas,2012,11,44,1321564,1321742
Flood,Asia,2016,8,19,1300000,1300000
Flood,Europe,2013,6,15,1300000,1300000
Flood,Asia,2005,7,5,1270000,1270000
Flood,Asia,2016,8,26,1263098,1263098
Storm,Asia,2005,7,10,1240000,1240000
Storm,Asia,2006,11,95,975000,1226360
Storm,Asia,2016,5,28,1083855,1203555
Earthquake,Americas,2017,9,98,1200000,1200250
Flood,Americas,2008,9,76,1200000,1200091
Storm,Asia,2009,11,0,1197799,1197799
Flood,Asia,2007,8,610,1000000,1170518
Flood,Americas,2007,10,35,1162083,1162135
Flood,Americas,2009,4,56,1150900,1150900
Storm,Asia,2011,12,1439,1144229,1150300
Storm,Asia,2014,1,79,1148621,1148707
Earthquake,Asia,2014,8,731,1117100,1120513
Storm,Asia,2011,10,25,1113763,1113775
Storm,Asia,2011,7,84,1108171,1108224
Flood,Asia,2014,12,41,1100000,1100020
Storm,Asia,2020,5,26,1100000,1100000
Flood,Asia,2013,8,118,1075000,1075000
Flood,Asia,2014,9,50,1065000,1065000
Flood,Asia,2011,1,47,0,1060324
Storm,Asia,2004,8,35,1058849,1058849
Earthquake,Asia,2004,12,35399,516130,1019306
Storm,Asia,2018,12,182,1015958,1016063
Storm,Asia,2005,7,9,1000000,1013000
Earthquake,Asia,2008,8,40,950000,1000589
Storm,Asia,2020,1,107,1000000,1000104
Storm,Asia,2009,9,13,1000000,1000058
Flood,Africa,2020,4,26,1000000,1000020
Flood,Asia,2012,7,151,1000000,1000000
Storm,Asia,2010,9,75,1000000,1000000
Flood,Americas,2010,9,25,1000000,1000000
Flood,Europe,2014,5,25,1000000,1000000
Flood,Asia,2005,7,23,1000000,1000000
Flood,Asia,2017,7,23,1000000,1000000
Storm,Asia,2011,8,18,1000000,1000000
Storm,Asia,2007,4,13,1000000,1000000
Storm,Americas,2005,10,7,700000,1000000
Storm,Asia,2011,9,3,1000000,1000000
Flood,Americas,2011,9,3,1000000,1000000
Storm,Asia,2015,1,2,1000000,1000000
Wildfire,Europe,2007,7,1,1000000,1000000
Flood,Africa,2017,4,0,1000000,1000000
Flood,Americas,2011,4,138,988441,988599
Storm,Africa,2004,3,363,773000,988139
Storm,Asia,2016,10,8,981154,981154
Flood,Africa,2019,3,60,975000,975672
Storm,Asia,2012,7,58,949051,949086
Flood,Asia,2011,5,12,944778,944781
Storm,Asia,2017,12,58,871757,923757
Storm,Asia,2007,8,7,921455,921462
Storm,Asia,2014,10,53,920000,920000
Storm,Asia,2008,8,4,900000,900000
Flood,Africa,2015,10,0,900000,900000
Storm,Asia,2004,11,1619,880000,881023
Flood,Asia,2017,5,293,879778,879932
Flood,Asia,2008,2,63,875306,875343
Flood,Africa,2020,6,1555,875000,875013
Storm,Asia,2013,10,20,871601,871755
Flood,Asia,2013,7,51,800000,848690
Flood,Asia,2008,9,18,839573,839573
Storm,Asia,2004,11,104,838434,838674
Flood,Africa,2010,7,46,680000,831000
Storm,Asia,2005,6,8,825000,825223
Flood,Africa,2020,3,285,810655,810655
Flood,Asia,2008,8,20,810000,810000
Flood,Americas,2011,12,65,809838,809945
Flood,Asia,2008,11,54,803740,803740
Storm,Asia,2009,10,39,802155,802175
Flood,Asia,2004,7,185,800000,800015
Flood,Asia,2005,8,27,800000,800000
Flood,Asia,2015,8,18,736000,787000
Flood,Asia,2008,5,3,780000,780000
Flood,Asia,2010,10,21,761000,761000
Storm,Africa,2017,2,7,750000,750102
Storm,Americas,2017,9,64,540000,750000
Earthquake,Asia,2012,9,81,744000,744821
Flood,Africa,2006,10,114,723000,723000
Storm,Asia,2019,1,7,720885,720885
Flood,Asia,2014,6,33,350000,720000
Flood,Asia,2013,7,36,718500,718500
Flood,Africa,2007,8,29,435070,718045
Flood,Asia,2011,3,64,716110,716110
Flood,Asia,2005,11,55,700000,700000
Flood,Asia,2011,8,47,700000,700000
Flood,Asia,2008,11,21,700000,700000
Flood,Asia,2009,7,20,700000,700000
Flood,Africa,2018,4,5,700000,700000
Flood,Africa,2019,10,0,700000,700000
Storm,Asia,2017,9,14,691900,692012
Storm,Asia,2007,9,96,637755,685430
Earthquake,Americas,2015,9,19,681484,681499
Flood,Americas,2009,11,0,680000,680000
Flood,Asia,2010,10,84,679750,679825
Flood,Asia,2016,8,538,667715,667715
Flood,Asia,2016,10,35,659390,659615
Earthquake,Americas,2007,8,593,656965,658331
Earthquake,Asia,2004,12,16389,647599,654512
Flood,Asia,2014,9,95,0,650000
Flood,Asia,2005,6,19,650000,650000
Flood,Asia,2007,7,214,640658,640706
Wildfire,Americas,2007,10,8,640000,640064
Storm,Asia,2004,6,0,640000,640032
Flood,Asia,2015,11,38,639000,639000
Flood,Africa,2015,1,278,638000,638645
Flood,Asia,2011,1,23,638254,638418
Flood,Asia,2013,6,55,625000,625000
Flood,Asia,2006,12,236,618486,618486
Flood,Asia,2008,8,12,600000,615638
Earthquake,Asia,2005,11,16,607500,615500
Storm,Asia,2018,8,0,615145,615145
Flood,Africa,2009,2,31,614814,614814
Storm,Asia,2016,10,34,610000,610000
Flood,Asia,2010,5,28,606072,606072
Flood,Asia,2017,10,9,605000,605000
Storm,Asia,2006,5,204,600000,600000
Flood,Asia,2008,10,99,600000,600000
Flood,Asia,2011,9,85,600000,600000
Flood,Asia,2004,9,20,600000,600000
Storm,Asia,2020,5,20,600000,600000
Flood,Africa,2012,7,20,594831,594831
Flood,Asia,2013,9,33,588147,588155
Storm,Asia,2010,7,146,585383,585474
Flood,Asia,2016,12,14,582343,582343
Storm,Americas,2017,8,88,555000,582024
Flood,Asia,2018,8,148,581268,581268
Storm,Asia,2014,12,72,578549,578549
Earthquake,Asia,2011,9,112,500000,575200
Flood,Africa,2007,7,150,365000,565335
Flood,Asia,2016,12,27,559255,562121
Flood,Asia,2004,6,0,556000,556073
Flood,Asia,2005,9,89,550000,550000
Earthquake,Oceania,2018,2,145,544000,544300
Storm,Oceania,2016,2,45,540414,540558
Flood,Asia,2008,5,64,538000,538166
Earthquake,Asia,2013,8,3,538000,538050
Flood,Asia,2009,1,33,537976,537991
Earthquake,Asia,2004,12,165708,0,532898
Flood,Africa,2012,7,91,530952,530952
Flood,Asia,2014,7,45,472500,530450
Flood,Americas,2011,10,43,528735,528753
Storm,Africa,2008,2,93,332391,524153
Flood,Asia,2017,6,284,520000,520000
Earthquake,Asia,2018,8,564,445343,516927
Earthquake,Americas,2014,4,6,513387,513387
Flood,Asia,2013,1,10,507769,507769
Storm,Asia,2013,9,20,506000,506000
Flood,Asia,2009,7,22,505102,505102
Flood,Asia,2013,6,6054,500000,504473
